x,y
-98.31,-1179.72
-98.30,-1179.60
-98.29,-1179.48
-98.28,-1179.36
-98.27,-1179.24
-98.26,-1179.12
-98.25,-1179.00
-98.24,-1178.88
-98.23,-1178.76
-98.22,-1178.64
-98.21,-1178.52
-98.20,-1178.40
-98.19,-1178.28
-98.18,-1178.16
-98.17,-1178.04
-98.16,-1177.92
-98.15,-1177.80
-98.14,-1177.68
-98.13,-1177.56
-98.12,-1177.44
-98.11,-1177.32
-98.10,-1177.20
-98.09,-1177.08
-98.08,-1176.96
-98.07,-1176.84
-98.06,-1176.72
-98.05,-1176.59
-98.04,-1176.47
-98.03,-1176.35
-98.02,-1176.23
-98.01,-1176.11
-98.00,-1175.99
-97.99,-1175.87
-97.98,-1175.75
-97.97,-1175.63
-97.96,-1175.51
-97.95,-1175.39
-97.94,-1175.27
-97.93,-1175.15
-97.92,-1175.03
-97.91,-1174.91
-97.90,-1174.79
-97.89,-1174.67
-97.88,-1174.55
-97.87,-1174.43
-97.86,-1174.31
-97.85,-1174.19
-97.84,-1174.07
-97.83,-1173.95
-97.82,-1173.83
-97.81,-1173.71
-97.80,-1173.59
-97.79,-1173.47
-97.78,-1173.35
-97.77,-1173.23
-97.76,-1173.11
-97.75,-1172.99
-97.74,-1172.87
-97.73,-1172.75
-97.72,-1172.63
-97.71,-1172.51
-97.70,-1172.39
-97.69,-1172.27
-97.68,-1172.15
-97.67,-1172.03
-97.66,-1171.91
-97.65,-1171.79
-97.64,-1171.67
-97.63,-1171.55
-97.62,-1171.43
-97.61,-1171.31
-97.60,-1171.19
-97.59,-1171.07
-97.58,-1170.95
-97.57,-1170.83
-97.56,-1170.71
-97.55,-1170.59
-97.54,-1170.47
-97.53,-1170.35
-97.52,-1170.23
-97.51,-1170.11
-97.50,-1169.99
-97.49,-1169.87
-97.48,-1169.75
-97.47,-1169.63
-97.46,-1169.51
-97.45,-1169.39
-97.44,-1169.27
-97.43,-1169.15
-97.42,-1169.03
-97.41,-1168.91
-97.40,-1168.79
-97.39,-1168.67
-97.38,-1168.55
-97.37,-1168.43
-97.36,-1168.31
-97.35,-1168.19
-97.34,-1168.07
-97.33,-1167.95
-97.32,-1167.83
-97.31,-1167.71
-97.30,-1167.59
-97.29,-1167.47
-97.28,-1167.35
-97.27,-1167.23
-97.26,-1167.11
-97.25,-1166.99
-97.24,-1166.87
-97.23,-1166.75
-97.22,-1166.63
-97.21,-1166.51
-97.20,-1166.39
-97.19,-1166.27
-97.18,-1166.15
-97.17,-1166.03
-97.16,-1165.91
-97.15,-1165.79
-97.14,-1165.67
-97.13,-1165.55
-97.12,-1165.43
-97.11,-1165.31
-97.10,-1165.19
-97.09,-1165.07
-97.08,-1164.95
-97.07,-1164.83
-97.06,-1164.71
-97.05,-1164.59
-97.04,-1164.47
-97.03,-1164.35
-97.02,-1164.23
-97.01,-1164.11
-97.00,-1163.99
-96.99,-1163.87
-96.98,-1163.75
-96.97,-1163.63
-96.96,-1163.51
-96.95,-1163.39
-96.94,-1163.27
-96.93,-1163.15
-96.92,-1163.03
-96.91,-1162.91
-96.90,-1162.79
-96.89,-1162.67
-96.88,-1162.55
-96.87,-1162.43
-96.86,-1162.31
-96.85,-1162.19
-96.84,-1162.07
-96.83,-1161.95
-96.82,-1161.83
-96.81,-1161.71
-96.80,-1161.59
-96.79,-1161.47
-96.78,-1161.35
-96.77,-1161.23
-96.76,-1161.11
-96.75,-1160.99
-96.74,-1160.87
-96.73,-1160.75
-96.72,-1160.63
-96.71,-1160.51
-96.70,-1160.39
-96.69,-1160.27
-96.68,-1160.15
-96.67,-1160.03
-96.66,-1159.91
-96.65,-1159.79
-96.64,-1159.67
-96.63,-1159.55
-96.62,-1159.43
-96.61,-1159.31
-96.60,-1159.19
-96.59,-1159.07
-96.58,-1158.95
-96.57,-1158.83
-96.56,-1158.71
-96.55,-1158.59
-96.54,-1158.47
-96.53,-1158.35
-96.52,-1158.23
-96.51,-1158.11
-96.50,-1157.99
-96.49,-1157.87
-96.48,-1157.75
-96.47,-1157.63
-96.46,-1157.51
-96.45,-1157.39
-96.44,-1157.27
-96.43,-1157.15
-96.42,-1157.03
-96.41,-1156.91
-96.40,-1156.79
-96.39,-1156.67
-96.38,-1156.55
-96.37,-1156.43
-96.36,-1156.31
-96.35,-1156.19
-96.34,-1156.07
-96.33,-1155.95
-96.32,-1155.83
-96.31,-1155.71
-96.30,-1155.59
-96.29,-1155.47
-96.28,-1155.35
-96.27,-1155.23
-96.26,-1155.11
-96.25,-1154.99
-96.24,-1154.87
-96.23,-1154.75
-96.22,-1154.63
-96.21,-1154.51
-96.20,-1154.39
-96.19,-1154.27
-96.18,-1154.15
-96.17,-1154.03
-96.16,-1153.91
-96.15,-1153.79
-96.14,-1153.67
-96.13,-1153.55
-96.12,-1153.43
-96.11,-1153.31
-96.10,-1153.19
-96.09,-1153.07
-96.08,-1152.95
-96.07,-1152.83
-96.06,-1152.71
-96.05,-1152.59
-96.04,-1152.47
-96.03,-1152.35
-96.02,-1152.23
-96.01,-1152.11
-96.00,-1151.99
-95.99,-1151.87
-95.98,-1151.75
-95.97,-1151.63
-95.96,-1151.51
-95.95,-1151.39
-95.94,-1151.27
-95.93,-1151.15
-95.92,-1151.03
-95.91,-1150.91
-95.90,-1150.79
-95.89,-1150.67
-95.88,-1150.55
-95.87,-1150.43
-95.86,-1150.31
-95.85,-1150.19
-95.84,-1150.07
-95.83,-1149.95
-95.82,-1149.83
-95.81,-1149.71
-95.80,-1149.59
-95.79,-1149.47
-95.78,-1149.35
-95.77,-1149.23
-95.76,-1149.11
-95.75,-1148.99
-95.74,-1148.87
-95.73,-1148.75
-95.72,-1148.63
-95.71,-1148.51
-95.70,-1148.39
-95.69,-1148.27
-95.68,-1148.15
-95.67,-1148.03
-95.66,-1147.91
-95.65,-1147.79
-95.64,-1147.67
-95.63,-1147.55
-95.62,-1147.43
-95.61,-1147.31
-95.60,-1147.19
-95.59,-1147.07
-95.58,-1146.95
-95.57,-1146.83
-95.56,-1146.71
-95.55,-1146.59
-95.54,-1146.47
-95.53,-1146.35
-95.52,-1146.23
-95.51,-1146.11
-95.50,-1145.99
-95.49,-1145.87
-95.48,-1145.75
-95.47,-1145.63
-95.46,-1145.51
-95.45,-1145.39
-95.44,-1145.27
-95.43,-1145.15
-95.42,-1145.03
-95.41,-1144.91
-95.40,-1144.79
-95.39,-1144.67
-95.38,-1144.55
-95.37,-1144.43
-95.36,-1144.31
-95.35,-1144.19
-95.34,-1144.07
-95.33,-1143.95
-95.32,-1143.83
-95.31,-1143.71
-95.30,-1143.59
-95.29,-1143.47
-95.28,-1143.35
-95.27,-1143.23
-95.26,-1143.11
-95.25,-1142.99
-95.24,-1142.87
-95.23,-1142.75
-95.22,-1142.63
-95.21,-1142.51
-95.20,-1142.39
-95.19,-1142.27
-95.18,-1142.15
-95.17,-1142.03
-95.16,-1141.91
-95.15,-1141.79
-95.14,-1141.67
-95.13,-1141.55
-95.12,-1141.43
-95.11,-1141.31
-95.10,-1141.19
-95.09,-1141.07
-95.08,-1140.95
-95.07,-1140.83
-95.06,-1140.71
-95.05,-1140.59
-95.04,-1140.47
-95.03,-1140.35
-95.02,-1140.23
-95.01,-1140.11
-95.00,-1139.99
-94.99,-1139.87
-94.98,-1139.75
-94.97,-1139.63
-94.96,-1139.51
-94.95,-1139.39
-94.94,-1139.27
-94.93,-1139.15
-94.92,-1139.03
-94.91,-1138.91
-94.90,-1138.79
-94.89,-1138.67
-94.88,-1138.55
-94.87,-1138.43
-94.86,-1138.31
-94.85,-1138.19
-94.84,-1138.07
-94.83,-1137.95
-94.82,-1137.83
-94.81,-1137.71
-94.80,-1137.59
-94.79,-1137.47
-94.78,-1137.35
-94.77,-1137.23
-94.76,-1137.11
-94.75,-1136.99
-94.74,-1136.87
-94.73,-1136.75
-94.72,-1136.63
-94.71,-1136.51
-94.70,-1136.39
-94.69,-1136.27
-94.68,-1136.15
-94.67,-1136.03
-94.66,-1135.91
-94.65,-1135.79
-94.64,-1135.67
-94.63,-1135.55
-94.62,-1135.43
-94.61,-1135.31
-94.60,-1135.19
-94.59,-1135.07
-94.58,-1134.95
-94.57,-1134.83
-94.56,-1134.71
-94.55,-1134.59
-94.54,-1134.47
-94.53,-1134.35
-94.52,-1134.23
-94.51,-1134.11
-94.50,-1133.99
-94.49,-1133.87
-94.48,-1133.75
-94.47,-1133.63
-94.46,-1133.51
-94.45,-1133.39
-94.44,-1133.27
-94.43,-1133.15
-94.42,-1133.03
-94.41,-1132.91
-94.40,-1132.79
-94.39,-1132.67
-94.38,-1132.55
-94.37,-1132.43
-94.36,-1132.31
-94.35,-1132.19
-94.34,-1132.07
-94.33,-1131.95
-94.32,-1131.83
-94.31,-1131.71
-94.30,-1131.59
-94.29,-1131.47
-94.28,-1131.35
-94.27,-1131.23
-94.26,-1131.11
-94.25,-1130.99
-94.24,-1130.87
-94.23,-1130.75
-94.22,-1130.63
-94.21,-1130.51
-94.20,-1130.39
-94.19,-1130.27
-94.18,-1130.15
-94.17,-1130.03
-94.16,-1129.91
-94.15,-1129.79
-94.14,-1129.67
-94.13,-1129.54
-94.12,-1129.42
-94.11,-1129.30
-94.10,-1129.18
-94.09,-1129.06
-94.08,-1128.94
-94.07,-1128.82
-94.06,-1128.70
-94.05,-1128.58
-94.04,-1128.46
-94.03,-1128.34
-94.02,-1128.22
-94.01,-1128.10
-94.00,-1127.98
-93.99,-1127.86
-93.98,-1127.74
-93.97,-1127.62
-93.96,-1127.50
-93.95,-1127.38
-93.94,-1127.26
-93.93,-1127.14
-93.92,-1127.02
-93.91,-1126.90
-93.90,-1126.78
-93.89,-1126.66
-93.88,-1126.54
-93.87,-1126.42
-93.86,-1126.30
-93.85,-1126.18
-93.84,-1126.06
-93.83,-1125.94
-93.82,-1125.82
-93.81,-1125.70
-93.80,-1125.58
-93.79,-1125.46
-93.78,-1125.34
-93.77,-1125.22
-93.76,-1125.10
-93.75,-1124.98
-93.74,-1124.86
-93.73,-1124.74
-93.72,-1124.62
-93.71,-1124.50
-93.70,-1124.38
-93.69,-1124.26
-93.68,-1124.14
-93.67,-1124.02
-93.66,-1123.90
-93.65,-1123.78
-93.64,-1123.66
-93.63,-1123.54
-93.62,-1123.42
-93.61,-1123.30
-93.60,-1123.18
-93.59,-1123.06
-93.58,-1122.94
-93.57,-1122.82
-93.56,-1122.70
-93.55,-1122.58
-93.54,-1122.46
-93.53,-1122.34
-93.52,-1122.22
-93.51,-1122.10
-93.50,-1121.98
-93.49,-1121.86
-93.48,-1121.74
-93.47,-1121.62
-93.46,-1121.50
-93.45,-1121.38
-93.44,-1121.26
-93.43,-1121.14
-93.42,-1121.02
-93.41,-1120.90
-93.40,-1120.78
-93.39,-1120.66
-93.38,-1120.54
-93.37,-1120.42
-93.36,-1120.30
-93.35,-1120.18
-93.34,-1120.06
-93.33,-1119.94
-93.32,-1119.82
-93.31,-1119.70
-93.30,-1119.58
-93.29,-1119.46
-93.28,-1119.34
-93.27,-1119.22
-93.26,-1119.10
-93.25,-1118.98
-93.24,-1118.86
-93.23,-1118.74
-93.22,-1118.62
-93.21,-1118.50
-93.20,-1118.38
-93.19,-1118.26
-93.18,-1118.14
-93.17,-1118.02
-93.16,-1117.90
-93.15,-1117.78
-93.14,-1117.66
-93.13,-1117.54
-93.12,-1117.42
-93.11,-1117.30
-93.10,-1117.18
-93.09,-1117.06
-93.08,-1116.94
-93.07,-1116.82
-93.06,-1116.70
-93.05,-1116.58
-93.04,-1116.46
-93.03,-1116.34
-93.02,-1116.22
-93.01,-1116.10
-93.00,-1115.98
-92.99,-1115.86
-92.98,-1115.74
-92.97,-1115.62
-92.96,-1115.50
-92.95,-1115.38
-92.94,-1115.26
-92.93,-1115.14
-92.92,-1115.02
-92.91,-1114.90
-92.90,-1114.78
-92.89,-1114.66
-92.88,-1114.54
-92.87,-1114.42
-92.86,-1114.30
-92.85,-1114.18
-92.84,-1114.06
-92.83,-1113.94
-92.82,-1113.82
-92.81,-1113.70
-92.80,-1113.58
-92.79,-1113.46
-92.78,-1113.34
-92.77,-1113.22
-92.76,-1113.10
-92.75,-1112.98
-92.74,-1112.86
-92.73,-1112.74
-92.72,-1112.62
-92.71,-1112.50
-92.70,-1112.38
-92.69,-1112.26
-92.68,-1112.14
-92.67,-1112.02
-92.66,-1111.90
-92.65,-1111.78
-92.64,-1111.66
-92.63,-1111.54
-92.62,-1111.42
-92.61,-1111.30
-92.60,-1111.18
-92.59,-1111.06
-92.58,-1110.94
-92.57,-1110.82
-92.56,-1110.70
-92.55,-1110.58
-92.54,-1110.46
-92.53,-1110.34
-92.52,-1110.22
-92.51,-1110.10
-92.50,-1109.98
-92.49,-1109.86
-92.48,-1109.74
-92.47,-1109.62
-92.46,-1109.50
-92.45,-1109.38
-92.44,-1109.26
-92.43,-1109.14
-92.42,-1109.02
-92.41,-1108.90
-92.40,-1108.78
-92.39,-1108.66
-92.38,-1108.54
-92.37,-1108.42
-92.36,-1108.30
-92.35,-1108.18
-92.34,-1108.06
-92.33,-1107.94
-92.32,-1107.82
-92.31,-1107.70
-92.30,-1107.58
-92.29,-1107.46
-92.28,-1107.34
-92.27,-1107.22
-92.26,-1107.10
-92.25,-1106.98
-92.24,-1106.86
-92.23,-1106.74
-92.22,-1106.62
-92.21,-1106.50
-92.20,-1106.38
-92.19,-1106.26
-92.18,-1106.14
-92.17,-1106.02
-92.16,-1105.90
-92.15,-1105.78
-92.14,-1105.66
-92.13,-1105.54
-92.12,-1105.42
-92.11,-1105.30
-92.10,-1105.18
-92.09,-1105.06
-92.08,-1104.94
-92.07,-1104.82
-92.06,-1104.70
-92.05,-1104.58
-92.04,-1104.46
-92.03,-1104.34
-92.02,-1104.22
-92.01,-1104.10
-92.00,-1103.98
-91.99,-1103.86
-91.98,-1103.74
-91.97,-1103.62
-91.96,-1103.50
-91.95,-1103.38
-91.94,-1103.26
-91.93,-1103.14
-91.92,-1103.02
-91.91,-1102.90
-91.90,-1102.78
-91.89,-1102.66
-91.88,-1102.54
-91.87,-1102.42
-91.86,-1102.30
-91.85,-1102.18
-91.84,-1102.06
-91.83,-1101.94
-91.82,-1101.82
-91.81,-1101.70
-91.80,-1101.58
-91.79,-1101.46
-91.78,-1101.34
-91.77,-1101.22
-91.76,-1101.10
-91.75,-1100.98
-91.74,-1100.86
-91.73,-1100.74
-91.72,-1100.62
-91.71,-1100.50
-91.70,-1100.38
-91.69,-1100.26
-91.68,-1100.14
-91.67,-1100.02
-91.66,-1099.90
-91.65,-1099.78
-91.64,-1099.66
-91.63,-1099.54
-91.62,-1099.42
-91.61,-1099.30
-91.60,-1099.18
-91.59,-1099.06
-91.58,-1098.94
-91.57,-1098.82
-91.56,-1098.70
-91.55,-1098.58
-91.54,-1098.46
-91.53,-1098.34
-91.52,-1098.22
-91.51,-1098.10
-91.50,-1097.98
-91.49,-1097.86
-91.48,-1097.74
-91.47,-1097.62
-91.46,-1097.50
-91.45,-1097.38
-91.44,-1097.26
-91.43,-1097.14
-91.42,-1097.02
-91.41,-1096.90
-91.40,-1096.78
-91.39,-1096.66
-91.38,-1096.54
-91.37,-1096.42
-91.36,-1096.30
-91.35,-1096.18
-91.34,-1096.06
-91.33,-1095.94
-91.32,-1095.82
-91.31,-1095.70
-91.30,-1095.58
-91.29,-1095.46
-91.28,-1095.34
-91.27,-1095.22
-91.26,-1095.10
-91.25,-1094.98
-91.24,-1094.86
-91.23,-1094.74
-91.22,-1094.62
-91.21,-1094.50
-91.20,-1094.38
-91.19,-1094.26
-91.18,-1094.14
-91.17,-1094.02
-91.16,-1093.90
-91.15,-1093.78
-91.14,-1093.66
-91.13,-1093.54
-91.12,-1093.42
-91.11,-1093.30
-91.10,-1093.18
-91.09,-1093.06
-91.08,-1092.94
-91.07,-1092.82
-91.06,-1092.70
-91.05,-1092.58
-91.04,-1092.46
-91.03,-1092.34
-91.02,-1092.22
-91.01,-1092.10
-91.00,-1091.98
-90.99,-1091.86
-90.98,-1091.74
-90.97,-1091.62
-90.96,-1091.50
-90.95,-1091.38
-90.94,-1091.26
-90.93,-1091.14
-90.92,-1091.02
-90.91,-1090.90
-90.90,-1090.78
-90.89,-1090.66
-90.88,-1090.54
-90.87,-1090.42
-90.86,-1090.30
-90.85,-1090.18
-90.84,-1090.06
-90.83,-1089.94
-90.82,-1089.82
-90.81,-1089.70
-90.80,-1089.58
-90.79,-1089.46
-90.78,-1089.34
-90.77,-1089.22
-90.76,-1089.10
-90.75,-1088.98
-90.74,-1088.86
-90.73,-1088.74
-90.72,-1088.62
-90.71,-1088.50
-90.70,-1088.38
-90.69,-1088.26
-90.68,-1088.14
-90.67,-1088.02
-90.66,-1087.90
-90.65,-1087.78
-90.64,-1087.66
-90.63,-1087.54
-90.62,-1087.42
-90.61,-1087.30
-90.60,-1087.18
-90.59,-1087.06
-90.58,-1086.94
-90.57,-1086.82
-90.56,-1086.70
-90.55,-1086.58
-90.54,-1086.46
-90.53,-1086.34
-90.52,-1086.22
-90.51,-1086.10
-90.50,-1085.98
-90.49,-1085.86
-90.48,-1085.74
-90.47,-1085.62
-90.46,-1085.50
-90.45,-1085.38
-90.44,-1085.26
-90.43,-1085.14
-90.42,-1085.02
-90.41,-1084.90
-90.40,-1084.78
-90.39,-1084.66
-90.38,-1084.54
-90.37,-1084.42
-90.36,-1084.30
-90.35,-1084.18
-90.34,-1084.06
-90.33,-1083.94
-90.32,-1083.82
-90.31,-1083.70
-90.30,-1083.58
-90.29,-1083.46
-90.28,-1083.34
-90.27,-1083.22
-90.26,-1083.09
-90.25,-1082.97
-90.24,-1082.85
-90.23,-1082.73
-90.22,-1082.61
-90.21,-1082.49
-90.20,-1082.37
-90.19,-1082.25
-90.18,-1082.13
-90.17,-1082.01
-90.16,-1081.89
-90.15,-1081.77
-90.14,-1081.65
-90.13,-1081.53
-90.12,-1081.41
-90.11,-1081.29
-90.10,-1081.17
-90.09,-1081.05
-90.08,-1080.93
-90.07,-1080.81
-90.06,-1080.69
-90.05,-1080.57
-90.04,-1080.45
-90.03,-1080.33
-90.02,-1080.21
-90.01,-1080.09
-90.00,-1079.97
-89.99,-1079.85
-89.98,-1079.73
-89.97,-1079.61
-89.96,-1079.49
-89.95,-1079.37
-89.94,-1079.25
-89.93,-1079.13
-89.92,-1079.01
-89.91,-1078.89
-89.90,-1078.77
-89.89,-1078.65
-89.88,-1078.53
-89.87,-1078.41
-89.86,-1078.29
-89.85,-1078.17
-89.84,-1078.05
-89.83,-1077.93
-89.82,-1077.81
-89.81,-1077.69
-89.80,-1077.57
-89.79,-1077.45
-89.78,-1077.33
-89.77,-1077.21
-89.76,-1077.09
-89.75,-1076.97
-89.74,-1076.85
-89.73,-1076.73
-89.72,-1076.61
-89.71,-1076.49
-89.70,-1076.37
-89.69,-1076.25
-89.68,-1076.13
-89.67,-1076.01
-89.66,-1075.89
-89.65,-1075.77
-89.64,-1075.65
-89.63,-1075.53
-89.62,-1075.41
-89.61,-1075.29
-89.60,-1075.17
-89.59,-1075.05
-89.58,-1074.93
-89.57,-1074.81
-89.56,-1074.69
-89.55,-1074.57
-89.54,-1074.45
-89.53,-1074.33
-89.52,-1074.21
-89.51,-1074.09
-89.50,-1073.97
-89.49,-1073.85
-89.48,-1073.73
-89.47,-1073.61
-89.46,-1073.49
-89.45,-1073.37
-89.44,-1073.25
-89.43,-1073.13
-89.42,-1073.01
-89.41,-1072.89
-89.40,-1072.77
-89.39,-1072.65
-89.38,-1072.53
-89.37,-1072.41
-89.36,-1072.29
-89.35,-1072.17
-89.34,-1072.05
-89.33,-1071.93
-89.32,-1071.81
-89.31,-1071.69
-89.30,-1071.57
-89.29,-1071.45
-89.28,-1071.33
-89.27,-1071.21
-89.26,-1071.09
-89.25,-1070.97
-89.24,-1070.85
-89.23,-1070.73
-89.22,-1070.61
-89.21,-1070.49
-89.20,-1070.37
-89.19,-1070.25
-89.18,-1070.13
-89.17,-1070.01
-89.16,-1069.89
-89.15,-1069.77
-89.14,-1069.65
-89.13,-1069.53
-89.12,-1069.41
-89.11,-1069.29
-89.10,-1069.17
-89.09,-1069.05
-89.08,-1068.93
-89.07,-1068.81
-89.06,-1068.69
-89.05,-1068.57
-89.04,-1068.45
-89.03,-1068.33
-89.02,-1068.21
-89.01,-1068.09
-89.00,-1067.97
-88.99,-1067.85
-88.98,-1067.73
-88.97,-1067.61
-88.96,-1067.49
-88.95,-1067.37
-88.94,-1067.25
-88.93,-1067.13
-88.92,-1067.01
-88.91,-1066.89
-88.90,-1066.77
-88.89,-1066.65
-88.88,-1066.53
-88.87,-1066.41
-88.86,-1066.29
-88.85,-1066.17
-88.84,-1066.05
-88.83,-1065.93
-88.82,-1065.81
-88.81,-1065.69
-88.80,-1065.57
-88.79,-1065.45
-88.78,-1065.33
-88.77,-1065.21
-88.76,-1065.09
-88.75,-1064.97
-88.74,-1064.85
-88.73,-1064.73
-88.72,-1064.61
-88.71,-1064.49
-88.70,-1064.37
-88.69,-1064.25
-88.68,-1064.13
-88.67,-1064.01
-88.66,-1063.89
-88.65,-1063.77
-88.64,-1063.65
-88.63,-1063.53
-88.62,-1063.41
-88.61,-1063.29
-88.60,-1063.17
-88.59,-1063.05
-88.58,-1062.93
-88.57,-1062.81
-88.56,-1062.69
-88.55,-1062.57
-88.54,-1062.45
-88.53,-1062.33
-88.52,-1062.21
-88.51,-1062.09
-88.50,-1061.97
-88.49,-1061.85
-88.48,-1061.73
-88.47,-1061.61
-88.46,-1061.49
-88.45,-1061.37
-88.44,-1061.25
-88.43,-1061.13
-88.42,-1061.01
-88.41,-1060.89
-88.40,-1060.77
-88.39,-1060.65
-88.38,-1060.53
-88.37,-1060.41
-88.36,-1060.29
-88.35,-1060.17
-88.34,-1060.05
-88.33,-1059.93
-88.32,-1059.81
-88.31,-1059.69
-88.30,-1059.57
-88.29,-1059.45
-88.28,-1059.33
-88.27,-1059.21
-88.26,-1059.09
-88.25,-1058.97
-88.24,-1058.85
-88.23,-1058.73
-88.22,-1058.61
-88.21,-1058.49
-88.20,-1058.37
-88.19,-1058.25
-88.18,-1058.13
-88.17,-1058.01
-88.16,-1057.89
-88.15,-1057.77
-88.14,-1057.65
-88.13,-1057.53
-88.12,-1057.41
-88.11,-1057.29
-88.10,-1057.17
-88.09,-1057.05
-88.08,-1056.93
-88.07,-1056.81
-88.06,-1056.69
-88.05,-1056.57
-88.04,-1056.45
-88.03,-1056.33
-88.02,-1056.21
-88.01,-1056.09
-88.00,-1055.97
-87.99,-1055.85
-87.98,-1055.73
-87.97,-1055.61
-87.96,-1055.49
-87.95,-1055.37
-87.94,-1055.25
-87.93,-1055.13
-87.92,-1055.01
-87.91,-1054.89
-87.90,-1054.77
-87.89,-1054.65
-87.88,-1054.53
-87.87,-1054.41
-87.86,-1054.29
-87.85,-1054.17
-87.84,-1054.05
-87.83,-1053.93
-87.82,-1053.81
-87.81,-1053.69
-87.80,-1053.57
-87.79,-1053.45
-87.78,-1053.33
-87.77,-1053.21
-87.76,-1053.09
-87.75,-1052.97
-87.74,-1052.85
-87.73,-1052.73
-87.72,-1052.61
-87.71,-1052.49
-87.70,-1052.37
-87.69,-1052.25
-87.68,-1052.13
-87.67,-1052.01
-87.66,-1051.89
-87.65,-1051.77
-87.64,-1051.65
-87.63,-1051.53
-87.62,-1051.41
-87.61,-1051.29
-87.60,-1051.17
-87.59,-1051.05
-87.58,-1050.93
-87.57,-1050.81
-87.56,-1050.69
-87.55,-1050.57
-87.54,-1050.45
-87.53,-1050.33
-87.52,-1050.21
-87.51,-1050.09
-87.50,-1049.97
-87.49,-1049.85
-87.48,-1049.73
-87.47,-1049.61
-87.46,-1049.49
-87.45,-1049.37
-87.44,-1049.25
-87.43,-1049.13
-87.42,-1049.01
-87.41,-1048.89
-87.40,-1048.77
-87.39,-1048.65
-87.38,-1048.53
-87.37,-1048.41
-87.36,-1048.29
-87.35,-1048.17
-87.34,-1048.05
-87.33,-1047.93
-87.32,-1047.81
-87.31,-1047.69
-87.30,-1047.57
-87.29,-1047.45
